match_id,innings_number,player_hash,batting_position
1075986,1,9ab63e7b,1
1075986,1,ad9c32a2,2
1075986,1,ff077124,3
1075986,1,d2a6c0e6,4
1075986,1,7cd0a092,5
1075986,1,c03c6200,6
1075986,1,0dc00542,7
1075986,1,29e253dd,8
1075986,1,ffe699c0,9
1075986,1,2911de16,10
1075986,1,086f5984,11
1075986,2,35205dfc,1
1075986,2,193ef196,2
1075986,2,b0c772ee,3
1075986,2,4329fbb5,4
1075986,2,c16d4035,5
1075987,1,50250426,1
1075987,1,f8fd6e3f,2
1075987,1,39f01cdb,3
1075987,1,cad00a4d,4
1075987,1,2254ab79,5
1075987,1,3086f7a4,6
1075987,1,0f12f9df,7
1075987,1,486065b3,8
1075987,1,eb2d5fe7,9
1075987,1,245c97cb,10
1075987,2,d1c36f5c,1
1075987,2,b8a55852,2
1075987,2,1777c020,3
1075987,2,fd2bf2a0,4
1075987,2,2f26ac1a,5
1075987,2,c03449e0,6
1075987,2,64d43928,7
1075987,2,9d430b40,8
1075987,2,7662cf7a,9
1075987,2,f2800ef3,10
1075987,2,1bf9a8ef,11
1075988,1,fd201eb4,1
1075988,1,db584dad,2
1075988,1,8a75e999,3
1075988,1,6b71e6cf,4
1075988,1,64c34cd0,5
1075988,1,7ca5e05d,6
1075988,1,a757b0d8,7
1075988,1,9cb8d7a6,8
1075988,1,e174dadd,9
1075988,2,9ab63e7b,1
1075988,2,ad9c32a2,2
1075988,2,ff077124,3
1075988,2,d2a6c0e6,4
1075988,2,7cd0a092,5
1075989,1,35205dfc,1
1075989,1,c16d4035,2
1075989,1,b0c772ee,3
1075989,1,7eae4418,4
1075989,1,4329fbb5,5
1075989,1,0a4736eb,6
1075989,1,9de62878,7
1075989,1,68ddabdb,8
1075989,2,d1c36f5c,1
1075989,2,b8a55852,2
1075989,2,1777c020,3
1075989,2,fd2bf2a0,4
1075989,2,c03449e0,5
1075989,2,9d430b40,6
1075990,1,fd201eb4,1
1075990,1,db584dad,2
1075990,1,8a75e999,3
1075990,1,6b71e6cf,4
1075990,1,a757b0d8,5
1075990,1,64c34cd0,6
1075990,1,7ca5e05d,7
1075990,1,9cb8d7a6,8
1075990,1,5af743d0,9
1075990,2,50250426,1
1075990,2,f8fd6e3f,2
1075990,2,39f01cdb,3
1075990,2,cad00a4d,4
1075990,2,2254ab79,5
1075991,1,d1c36f5c,1
1075991,1,b8a55852,2
1075991,1,1777c020,3
1075991,1,fd2bf2a0,4
1075991,1,c03449e0,5
1075991,1,2f26ac1a,6
1075991,1,9d430b40,7
1075991,1,64d43928,8
1075991,1,7662cf7a,9
1075991,1,f2800ef3,10
1075991,1,1bf9a8ef,11
1075991,2,9ab63e7b,1
1075991,2,ad9c32a2,2
1075991,2,ff077124,3
1075991,2,d2a6c0e6,4
1075991,2,0dc00542,5
1075991,2,b98b5e1c,6
1075991,2,c03c6200,7
1075991,2,ffe699c0,8
1075991,2,b3118300,9
1075992,1,50250426,1
1075992,1,f8fd6e3f,2
1075992,1,39f01cdb,3
1075992,1,cad00a4d,4
1075992,1,2254ab79,5
1075992,1,bf1d7d3e,6
1075992,1,0f12f9df,7
1075992,2,35205dfc,1
1075992,2,c16d4035,2
1075992,2,b0c772ee,3
1075992,2,7eae4418,4
1075992,2,4329fbb5,5
1075992,2,0a4736eb,6
1075992,2,9de62878,7
1075993,1,d1c36f5c,1
1075993,1,b8a55852,2
1075993,1,1777c020,3
1075993,1,fd2bf2a0,4
1075993,1,2f26ac1a,5
1075993,1,c03449e0,6
1075993,1,9d430b40,7
1075993,1,64d43928,8
1075993,1,1bf9a8ef,9
1075993,2,8a75e999,1
1075993,2,db584dad,2
1075993,2,6b71e6cf,3
1075993,2,64c34cd0,4
1075993,2,a757b0d8,5
1075993,2,7ca5e05d,6
1075993,2,9cb8d7a6,7
1075993,2,5af743d0,8
1075993,2,e174dadd,9
1075993,2,6dd8b88c,10
1075994,1,3b041a12,1
1075994,1,9ab63e7b,2
1075994,1,ff077124,3
1075994,1,d2a6c0e6,4
1075994,1,b98b5e1c,5
1075995,1,35205dfc,1
1075995,1,c16d4035,2
1075995,1,b0c772ee,3
1075995,1,7eae4418,4
1075995,1,4329fbb5,5
1075995,1,b8eddbdb,6
1075995,1,0a4736eb,7
1075995,1,68ddabdb,8
1075995,1,9de62878,9
1075995,2,db584dad,1
1075995,2,8a75e999,2
1075995,2,6b71e6cf,3
1075995,2,64c34cd0,4
1075995,2,7ca5e05d,5
1075995,2,9cb8d7a6,6
1075996,1,d1c36f5c,1
1075996,1,1777c020,2
1075996,1,fd2bf2a0,3
1075996,1,2f26ac1a,4
1075996,1,afa78c3a,5
1075996,2,f8fd6e3f,1
1075996,2,3fbb43a9,2
1075996,2,39f01cdb,3
1075996,2,cad00a4d,4
1075996,2,0f12f9df,5
1075996,2,2254ab79,6
1075996,2,eb2d5fe7,7
1075997,1,3b041a12,1
1075997,1,ff077124,2
1075997,1,9ab63e7b,3
1075997,1,d2a6c0e6,4
1075997,1,b98b5e1c,5
1075997,1,7dc35884,6
1075997,1,c03c6200,7
1075997,1,0dc00542,8
1075997,1,b3118300,9
1075997,1,2911de16,10
1075997,1,086f5984,11
1075997,2,35205dfc,1
1075997,2,9211d267,2
1075997,2,b0c772ee,3
1075997,2,c16d4035,4
1075997,2,7eae4418,5
1075997,2,4329fbb5,6
1075997,2,c6a1b1bb,7
1075998,1,8a75e999,1
1075998,1,6b71e6cf,2
1075998,1,db584dad,3
1075998,1,64c34cd0,4
1075998,1,7ca5e05d,5
1075998,1,a757b0d8,6
1075998,2,3b041a12,1
1075998,2,ff077124,2
1075998,2,29e253dd,3
1075998,2,d2a6c0e6,4
1075998,2,7dc35884,5
1075998,2,b98b5e1c,6
1075998,2,c03c6200,7
1075998,2,0dc00542,8
1075998,2,b3118300,9
1075998,2,2911de16,10
1075998,2,195fb6db,11
1075999,1,35205dfc,1
