match_id,innings_number,player_hash,runs,balls_faced,fours,sixes,strike_rate,dismissal_type,dismissed_by,caught_by
1075986,1,9ab63e7b,0,1,0,0,0.0,caught,a8e3170f,193ef196
1075986,1,ff077124,88,48,6,6,183.33,caught,68ddabdb,7eae4418
1075986,1,ad9c32a2,43,30,4,3,143.33,caught,4329fbb5,b8eddbdb
1075986,1,d2a6c0e6,1,3,0,0,33.33,bowled,05d74535,
1075986,1,7cd0a092,12,14,0,0,85.71,caught,4329fbb5,b0c772ee
1075986,1,c03c6200,7,7,0,1,100.0,caught,a8e3170f,193ef196
1075986,1,0dc00542,4,4,0,0,100.0,caught,4329fbb5,7eae4418
1075986,1,ffe699c0,16,10,1,1,160.0,,,
1075986,1,29e253dd,0,1,0,0,0.0,caught,68ddabdb,b0c772ee
1075986,1,2911de16,4,2,1,0,200.0,caught,4329fbb5,c6a1b1bb
1075986,2,35205dfc,55,49,8,1,112.24,caught,086f5984,ffe699c0
1075986,2,193ef196,1,4,0,0,25.0,lbw,2911de16,
1075986,2,b0c772ee,73,39,8,3,187.18,caught,ffe699c0,ff077124
1075986,2,4329fbb5,26,13,2,2,200.0,,,
1075986,2,c16d4035,7,3,1,0,233.33,,,
1075987,1,50250426,29,28,4,0,103.57,bowled,9d430b40,
1075987,1,f8fd6e3f,5,8,0,0,62.5,caught,64d43928,2f26ac1a
1075987,1,39f01cdb,3,7,0,0,42.86,bowled,1bf9a8ef,
1075987,1,cad00a4d,60,47,3,2,127.66,caught,1bf9a8ef,fd2bf2a0
1075987,1,2254ab79,1,2,0,0,50.0,bowled,9d430b40,
1075987,1,3086f7a4,1,3,0,0,33.33,run_out,,
1075987,1,0f12f9df,12,11,1,0,109.09,caught,f2800ef3,7662cf7a
1075987,1,486065b3,16,11,1,1,145.45,caught,64d43928,d1c36f5c
1075987,1,eb2d5fe7,3,2,0,0,150.0,,,
1075987,1,245c97cb,0,1,0,0,0.0,lbw,1bf9a8ef,
1075987,2,d1c36f5c,27,14,5,1,192.86,bowled,3a0f6df2,
1075987,2,b8a55852,20,11,2,1,181.82,caught,3a0f6df2,0f12f9df
1075987,2,1777c020,11,12,1,0,91.67,,,
1075987,2,fd2bf2a0,0,4,0,0,0.0,caught,eb2d5fe7,0f12f9df
1075987,2,2f26ac1a,5,8,0,0,62.5,lbw,486065b3,
1075987,2,c03449e0,26,30,2,0,86.67,bowled,3086f7a4,
1075987,2,64d43928,5,8,0,0,62.5,bowled,3086f7a4,
1075987,2,9d430b40,26,15,0,3,173.33,lbw,245c97cb,
1075987,2,7662cf7a,1,3,0,0,33.33,run_out,,
1075987,2,1bf9a8ef,3,3,0,0,100.0,,,
1075987,2,f2800ef3,1,4,0,0,25.0,caught_and_bowled,486065b3,486065b3
1075988,1,fd201eb4,0,3,0,0,0.0,caught,9ab63e7b,ffe699c0
1075988,1,db584dad,2,9,0,0,22.22,lbw,9ab63e7b,
1075988,1,8a75e999,1,5,0,0,20.0,caught,2911de16,c03c6200
1075988,1,6b71e6cf,5,6,0,0,83.33,caught,ffe699c0,9ab63e7b
1075988,1,64c34cd0,44,36,3,1,122.22,caught,b3118300,ff077124
1075988,1,7ca5e05d,33,40,3,0,82.5,caught,574665e2,ffe699c0
1075988,1,a757b0d8,27,14,2,2,192.86,,,
1075988,1,9cb8d7a6,0,2,0,0,0.0,caught,b3118300,c03c6200
1075988,1,e174dadd,3,5,0,0,60.0,,,
1075988,2,9ab63e7b,0,4,0,0,0.0,lbw,e174dadd,
1075988,2,ff077124,0,6,0,0,0.0,caught,5af743d0,9cb8d7a6
1075988,2,ad9c32a2,22,20,4,0,110.0,caught,9cb8d7a6,8a75e999
1075988,2,d2a6c0e6,80,57,8,3,140.35,,,
1075988,2,7cd0a092,13,24,0,0,54.17,,,
1075989,1,35205dfc,31,29,4,0,106.9,bowled,c03449e0,
1075989,1,c16d4035,37,28,4,1,132.14,bowled,c03449e0,
1075989,1,b0c772ee,9,15,0,0,60.0,caught,c03449e0,f2800ef3
1075989,1,7eae4418,61,36,3,5,169.44,,,
1075989,1,4329fbb5,7,6,1,0,116.67,caught,c03449e0,fd2bf2a0
1075989,1,0a4736eb,1,2,0,0,50.0,caught,9d430b40,c03449e0
1075989,1,9de62878,4,5,0,0,80.0,,,
1075989,1,68ddabdb,0,1,0,0,0.0,caught,64d43928,1777c020
1075989,2,d1c36f5c,60,51,6,1,117.65,,,
1075989,2,b8a55852,25,10,4,1,250.0,caught,1c790f4f,c16d4035
1075989,2,1777c020,5,8,0,0,62.5,caught_and_bowled,68ddabdb,68ddabdb
1075989,2,fd2bf2a0,35,26,3,2,134.62,caught,4329fbb5,c16d4035
1075989,2,c03449e0,3,4,0,0,75.0,caught,05d74535,0a4736eb
1075989,2,9d430b40,26,12,3,2,216.67,,,
1075990,1,fd201eb4,19,13,3,0,146.15,caught_and_bowled,245c97cb,245c97cb
1075990,1,db584dad,10,14,0,1,71.43,caught_and_bowled,0f12f9df,0f12f9df
1075990,1,8a75e999,50,42,4,1,119.05,run_out,,
1075990,1,6b71e6cf,25,22,1,1,113.64,caught,0f12f9df,486065b3
1075990,1,a757b0d8,14,7,1,1,200.0,caught,3086f7a4,39f01cdb
1075990,1,64c34cd0,15,8,1,1,187.5,caught,0f12f9df,3086f7a4
1075990,1,7ca5e05d,16,9,3,0,177.78,caught,245c97cb,3a0f6df2
1075990,1,9cb8d7a6,6,3,1,0,200.0,,,
1075990,1,5af743d0,2,2,0,0,100.0,run_out,,
1075990,2,50250426,11,13,2,0,84.62,caught,5af743d0,64c34cd0
