match_id,season_year,match_date,venue_name,venue_city,team1,team2,toss_winner,toss_decision,winner,win_margin_runs,win_margin_wickets,is_tie,decided_by_super_over,is_dls_affected,status,player_of_match
1075986,2017,2017-02-09,Dubai International Cricket Stadium,Dubai,Islamabad United,Peshawar Zalmi,Islamabad United,bowl,Islamabad United,,7,False,False,True,completed,b0c772ee
1075987,2017,2017-02-10,Dubai International Cricket Stadium,Dubai,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,bowl,Quetta Gladiators,8,,False,False,False,completed,486065b3
1075988,2017,2017-02-10,Dubai International Cricket Stadium,Dubai,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,bowl,Peshawar Zalmi,,7,False,False,False,completed,d2a6c0e6
1075989,2017,2017-02-11,Dubai International Cricket Stadium,Dubai,Islamabad United,Lahore Qalandars,Lahore Qalandars,bowl,Lahore Qalandars,,6,False,False,False,completed,d1c36f5c
1075990,2017,2017-02-11,Dubai International Cricket Stadium,Dubai,Karachi Kings,Quetta Gladiators,Quetta Gladiators,bowl,Quetta Gladiators,,7,False,False,False,completed,cad00a4d
1075991,2017,2017-02-12,Dubai International Cricket Stadium,Dubai,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,bowl,Peshawar Zalmi,,3,False,False,False,completed,f2800ef3
1075992,2017,2017-02-15,Sharjah Cricket Stadium,Sharjah,Islamabad United,Quetta Gladiators,Islamabad United,bowl,Islamabad United,,5,False,False,False,completed,c16d4035
1075993,2017,2017-02-16,Sharjah Cricket Stadium,Sharjah,Karachi Kings,Lahore Qalandars,Karachi Kings,bowl,Lahore Qalandars,7,,False,False,False,completed,1777c020
1075994,2017,2017-02-17,Sharjah Cricket Stadium,Sharjah,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,bowl,,,,False,False,False,no_result,
1075995,2017,2017-02-17,Sharjah Cricket Stadium,Sharjah,Islamabad United,Karachi Kings,Karachi Kings,bowl,Karachi Kings,8,,False,False,True,completed,8a75e999
1075996,2017,2017-02-18,Sharjah Cricket Stadium,Sharjah,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,bowl,Quetta Gladiators,,5,False,False,False,completed,39f01cdb
1075997,2017,2017-02-18,Sharjah Cricket Stadium,Sharjah,Islamabad United,Peshawar Zalmi,Islamabad United,bowl,Islamabad United,,5,False,False,False,completed,68ddabdb
