external_ref_cricsheet,full_name
e0e5b209,Ahsan Raza
c6a1b1bb,Amad Butt
6b35790c,Asif Yaqoob
b0c772ee,BJ Haddin
ffe699c0,CJ Jordan
ad9c32a2,DJ Malan
c03c6200,DJG Sammy
35205dfc,DR Smith
d2a6c0e6,EJG Morgan
7cd0a092,Haris Sohail
2911de16,Hasan Ali
29e253dd,Iftikhar Ahmed
b8eddbdb,Imran Khalid
086f5984,Junaid Khan
ff077124,Kamran Akmal
7eae4418,Misbah-ul-Haq
9ab63e7b,Mohammad Hafeez
a8e3170f,Mohammad Irfan
68ddabdb,Mohammad Sami
57910393,RS Mahanama
fb82725e,Rashid Riaz
4329fbb5,SR Watson
c16d4035,SW Billings
05d74535,Saeed Ajmal
0dc00542,Shahid Afridi
193ef196,Sharjeel Khan
153c67dc,Shozab Raza
f8fd6e3f,Ahmed Shehzad
eb2d5fe7,Anwar Ali
50250426,Asad Shafiq
b8a55852,BB McCullum
7662cf7a,Bilawal Bhatti
1777c020,Fakhar Zaman
c03449e0,GD Elliott
486065b3,Hassan Khan
d1c36f5c,JJ Roy
39f01cdb,KP Pietersen
1bf9a8ef,Mohammad Irfan (4)
3086f7a4,Mohammad Nawaz (3)
2f26ac1a,Mohammad Rizwan
0d4da5c5,Mohammed Anees
0f12f9df,NLTC Perera
cad00a4d,RR Rossouw
9d430b40,SP Narine
2254ab79,Sarfraz Ahmed
64d43928,Sohail Tanvir
245c97cb,TS Mills
fd2bf2a0,Umar Akmal
f2800ef3,Yasir Shah
3a0f6df2,Zulfiqar Babar
abb7c76c,Abrar Ahmed
86a1918c,Ahmed Shahab
8a75e999,Babar Azam
db584dad,CH Gayle
9cb8d7a6,Imad Wasim
a757b0d8,KA Pollard
6b71e6cf,KC Sangakkara
e174dadd,Mohammad Amir
574665e2,Mohammad Asghar
7ca5e05d,RS Bopara
fd201eb4,Shahzaib Hasan
64c34cd0,Shoaib Malik
5af743d0,Sohail Khan
b3118300,Wahab Riaz
0a4736eb,Asif Ali
1c790f4f,Rumman Raees
9de62878,Shadab Khan
f02778d1,Aleem Dar
20672246,RK Illingworth
b98b5e1c,Sohaib Maqsood
bf1d7d3e,Mahmudullah
16dfcc19,Umar Gul
a3a1c7ef,Zohaib Khan
6dd8b88c,Usama Mir
f0e722e0,Usman Shinwari
7dc35884,Shakib Al Hasan
3b041a12,Tamim Iqbal
e93f608d,Kashif Bhatti
907d6e58,Aamer Yamin
afa78c3a,CS Delport
3fbb43a9,Saad Nasim
9211d267,Rafatullah Mohmand
195fb6db,Imran Khan (1)
5f26f677,BM Duckett
cb1a782a,Mir Hamza
140cdf29,REJ Martinesz
667f678b,Ghulam Mudassar
f846de6a,MN Samuels
bb4b445b,Hussain Talat
76388dc8,S Badree
d18f9182,DPMD Jayawardene
9fd3a210,Zafar Gohar
3029e282,Umar Amin
cca50cd6,LJ Wright
3241e3fd,N Pooran
fce581b5,Khushdil Shah
